Category	Size	ExpCount	Count	OddsRatio	Pvalue	PvalueAdj	Genes
GSE17721_LPS_VS_PAM3CSK4_12H_BMDM_DN	194	0.515857	5	10.3006	0.000178355	0.00605535	COQ3, FAHD1, GSTM1, NEDD8, SDHA
GSE3982_MAC_VS_TH2_UP	194	0.515857	5	10.3006	0.000178355	0.00605535	ACACB, HADHB, PDHX, PRCP, RNASE4
GSE1432_CTRL_VS_IFNG_6H_MICROGLIA_DN	195	0.518516	5	10.2462	0.000182663	0.00605535	BAZ1A, HNRNPR, IFI44L, IL32, LYN
GSE29618_MONOCYTE_VS_MDC_DAY7_FLU_VACCINE_DN	195	0.518516	5	10.2462	0.000182663	0.00605535	ATP1B1, FAM162A, NDUFV1, PRCP, RPL9
GSE360_T_GONDII_VS_M_TUBERCULOSIS_DC_UP	195	0.518516	5	10.2462	0.000182663	0.00605535	COQ9, NACA, SDHA, TELO2, UQCRC1
GSE3982_MAC_VS_NKCELL_UP	195	0.518516	5	10.2462	0.000182663	0.00605535	APOO, DLAT, FTH1, MGST3, RNASE4
GSE22886_NAIVE_BCELL_VS_DC_DN	196	0.521175	5	10.1923	0.00018705	0.00605535	AIFM1, ATP1B1, MGST3, RBM47, RNF14
GSE24634_IL4_VS_CTRL_TREATED_NAIVE_CD4_TCELL_DAY10_DN	196	0.521175	5	10.1923	0.00018705	0.00605535	ACO2, APOO, LYN, SOD2, UQCRC1
GSE360_L_DONOVANI_VS_M_TUBERCULOSIS_DC_UP	196	0.521175	5	10.1923	0.00018705	0.00605535	COQ9, NACA, PRKRA, UQCRC1, UQCRC2
GSE360_DC_VS_MAC_M_TUBERCULOSIS_DN	197	0.523834	5	10.139	0.000191516	0.00609659	CRABP2, GAS2L1, NACA, RNASE4, SMPDL3A
GSE15930_NAIVE_VS_72H_IN_VITRO_STIM_IL12_CD8_TCELL_DN	198	0.526493	5	10.0863	0.000196064	0.00613905	CHCHD10, CKB, DECR1, FAM162A, RNF14
GSE6269_FLU_VS_E_COLI_INF_PBMC_UP	152	0.404177	4	10.4442	0.000751134	0.0220446	DNAJC4, IFI44L, OGDH, PDHX
GSE11864_UNTREATED_VS_CSF1_IFNG_PAM3CYS_IN_MAC_UP	180	0.47863	4	8.77731	0.00140402	0.0220446	GSTK1, MCCC1, PRKRA, RPL9
GSE16522_MEMORY_VS_NAIVE_CD8_TCELL_UP	181	0.481289	4	8.72753	0.00143283	0.0220446	ACAT1, COQ9, RNF14, UQCRB
GSE17721_POLYIC_VS_GARDIQUIMOD_16H_BMDM_DN	181	0.481289	4	8.72753	0.00143283	0.0220446	ACADM, COQ3, NDUFA4, SUCLA2
GSE17974_IL4_AND_ANTI_IL12_VS_UNTREATED_4H_ACT_CD4_TCELL_UP	181	0.481289	4	8.72753	0.00143283	0.0220446	AIFM1, IMMT, SLC39A8, SMPDL3A
GSE14308_TH2_VS_NAIVE_CD4_TCELL_UP	183	0.486607	4	8.62964	0.00149169	0.0220446	ACAT1, CA9, GAS2L1, NDUFV1
GSE17974_0H_VS_12H_IN_VITRO_ACT_CD4_TCELL_DN	185	0.491926	4	8.53392	0.00155221	0.0220446	ACSL4, AIFM1, IMMT, PDHA1
GSE17974_CTRL_VS_ACT_IL4_AND_ANTI_IL12_24H_CD4_TCELL_DN	186	0.494585	4	8.48684	0.0015831	0.0220446	ACAT1, AIFM1, PDHA1, TMEM106C
GSE18791_CTRL_VS_NEWCASTLE_VIRUS_DC_12H_UP	186	0.494585	4	8.48684	0.0015831	0.0220446	COQ9, PPP1R13B, PRCP, SKA2
GSE27786_LSK_VS_NEUTROPHIL_UP	186	0.494585	4	8.48684	0.0015831	0.0220446	FAM162A, GSTK1, HADHB, SHISA2
GSE37416_0H_VS_48H_F_TULARENSIS_LVS_NEUTROPHIL_DN	186	0.494585	4	8.48684	0.0015831	0.0220446	FAM162A, SOD2, STX4, TPT1
GSE17721_CPG_VS_GARDIQUIMOD_12H_BMDM_DN	187	0.497244	4	8.44028	0.00161442	0.0220446	HSD17B12, ISCU, PRKRA, SUCLA2
GSE17721_0.5H_VS_8H_GARDIQUIMOD_BMDM_UP	187	0.497244	4	8.44028	0.00161442	0.0220446	ACO2, CHCHD10, COMTD1, NDUFA4
GSE29617_CTRL_VS_DAY3_TIV_FLU_VACCINE_PBMC_2008_DN	187	0.497244	4	8.44028	0.00161442	0.0220446	ACADM, ACO2, NDUFB10, NEDD8
GSE12366_NAIVE_VS_MEMORY_BCELL_DN	188	0.499903	4	8.39423	0.00164616	0.0220446	CALM2, COMTD1, GSTK1, RNASE4
GSE14769_UNSTIM_VS_360MIN_LPS_BMDM_UP	188	0.499903	4	8.39423	0.00164616	0.0220446	ACADM, COX7A2, FAM162A, MRPL41
GSE17974_0.5H_VS_72H_UNTREATED_IN_VITRO_CD4_TCELL_DN	188	0.499903	4	8.39423	0.00164616	0.0220446	PDHA1, PRCP, STX4, WIPI1
GSE27786_LSK_VS_NKTCELL_UP	188	0.499903	4	8.39423	0.00164616	0.0220446	ACADM, HSD17B12, TMEM106C, TRIM47
GSE32423_IL7_VS_IL7_IL4_MEMORY_CD8_TCELL_UP	188	0.499903	4	8.39423	0.00164616	0.0220446	ACADM, COQ3, FASTKD1, ZDHHC23
GSE37416_0H_VS_24H_F_TULARENSIS_LVS_NEUTROPHIL_DN	188	0.499903	4	8.39423	0.00164616	0.0220446	CIDEC, FTH1, STX4, UQCRC2
GSE14000_4H_VS_16H_LPS_DC_UP	189	0.502562	4	8.34867	0.00167834	0.0220446	ATP1B1, NDUFA4, NDUFV1, SLC25A5
GSE14026_TH1_VS_TH17_DN	189	0.502562	4	8.34867	0.00167834	0.0220446	ANG, SFXN4, SUCLA2, UQCRC2
GSE15930_STIM_VS_STIM_AND_IL-12_72H_CD8_T_CELL_UP	189	0.502562	4	8.34867	0.00167834	0.0220446	NDUFB10, NEDD8, SUCLA2, TPT1
GSE17974_CTRL_VS_ACT_IL4_AND_ANTI_IL12_2H_CD4_TCELL_DN	189	0.502562	4	8.34867	0.00167834	0.0220446	CYCS, DLAT, IMMT, SLC39A8
GSE22886_IGG_IGA_MEMORY_BCELL_VS_BLOOD_PLASMA_CELL_DN	189	0.502562	4	8.34867	0.00167834	0.0220446	GOT1, PDHX, RBM47, WIPI1
GSE27786_NKCELL_VS_NKTCELL_DN	189	0.502562	4	8.34867	0.00167834	0.0220446	ATP1B1, FAM162A, RNF14, SDHA
GSE360_L_MAJOR_VS_B_MALAYI_LOW_DOSE_MAC_DN	189	0.502562	4	8.34867	0.00167834	0.0220446	HNRNPR, NDUFV1, PPIC, PRCP
GSE37416_0H_VS_12H_F_TULARENSIS_LVS_NEUTROPHIL_DN	189	0.502562	4	8.34867	0.00167834	0.0220446	CIDEC, FTH1, SOD2, STX4
GSE13738_RESTING_VS_BYSTANDER_ACTIVATED_CD4_TCELL_DN	190	0.505221	4	8.30361	0.00171095	0.0220446	ATP1B1, ETFDH, PDHA1, WIPI1
GSE17721_CTRL_VS_POLYIC_8H_BMDM_UP	190	0.505221	4	8.30361	0.00171095	0.0220446	ACAT1, FAM162A, NEDD8, RNASE4
GSE17721_CPG_VS_GARDIQUIMOD_24H_BMDM_DN	190	0.505221	4	8.30361	0.00171095	0.0220446	AIFM1, FAM162A, NEDD8, TPT1
GSE17721_PAM3CSK4_VS_GADIQUIMOD_8H_BMDM_UP	190	0.505221	4	8.30361	0.00171095	0.0220446	AIFM1, COMTD1, MRPL41, NDUFB10
GSE20151_CTRL_VS_FUSOBACT_NUCLEATUM_NEUTROPHIL_DN	190	0.505221	4	8.30361	0.00171095	0.0220446	CPEB3, HIGD1A, NDUFA4, UQCRC2
GSE22886_IGM_MEMORY_BCELL_VS_BLOOD_PLASMA_CELL_DN	190	0.505221	4	8.30361	0.00171095	0.0220446	ACSL4, DECR1, PDHX, PRCP
GSE360_DC_VS_MAC_DN	190	0.505221	4	8.30361	0.00171095	0.0220446	CRABP2, DNAJC4, GPR3, NACA
GSE13485_PRE_VS_POST_YF17D_VACCINATION_PBMC_DN	191	0.50788	4	8.25902	0.001744	0.0220446	DECR1, IFI44L, IMMT, PDHA1
GSE13493_DP_VS_CD4INTCD8POS_THYMOCYTE_DN	191	0.50788	4	8.25902	0.001744	0.0220446	BAZ1A, CHCHD10, DECR1, FAM162A
GSE14769_UNSTIM_VS_20MIN_LPS_BMDM_DN	191	0.50788	4	8.25902	0.001744	0.0220446	IFI44L, SFXN4, SUCLA2, TRIM47
GSE15733_BM_VS_SPLEEN_MEMORY_CD4_TCELL_DN	191	0.50788	4	8.25902	0.001744	0.0220446	DECR1, MRPL41, PPIC, SMPDL3A
GSE17721_POLYIC_VS_PAM3CSK4_8H_BMDM_DN	191	0.50788	4	8.25902	0.001744	0.0220446	COQ3, RPL9, SOD2, UQCRC1
GSE17721_LPS_VS_GARDIQUIMOD_6H_BMDM_DN	191	0.50788	4	8.25902	0.001744	0.0220446	ACADM, ACSL4, SDHA, UQCRC1
GSE17721_0.5H_VS_8H_LPS_BMDM_UP	191	0.50788	4	8.25902	0.001744	0.0220446	ACAT1, ACO2, ESRRA, FAM162A
GSE2706_UNSTIM_VS_8H_LPS_AND_R848_DC_UP	191	0.50788	4	8.25902	0.001744	0.0220446	ACAT1, GSTK1, PRCP, UQCRC1
GSE29617_CTRL_VS_TIV_FLU_VACCINE_PBMC_2008_DN	191	0.50788	4	8.25902	0.001744	0.0220446	ACADM, DECR1, FASTKD1, NDUFB10
GSE30083_SP1_VS_SP4_THYMOCYTE_UP	191	0.50788	4	8.25902	0.001744	0.0220446	AIFM1, ARHGEF6, GOT1, HSD17B12
GSE31082_DN_VS_DP_THYMOCYTE_UP	191	0.50788	4	8.25902	0.001744	0.0220446	COMTD1, GOT1, SOD2, TMEM106C
GSE36392_EOSINOPHIL_VS_MAC_IL25_TREATED_LUNG_DN	191	0.50788	4	8.25902	0.001744	0.0220446	CA9, ETFDH, GSTK1, MGST3
GSE3982_EOSINOPHIL_VS_MAST_CELL_DN	191	0.50788	4	8.25902	0.001744	0.0220446	HSD17B12, MGST3, PDHX, UQCRC2
GSE13411_NAIVE_VS_IGM_MEMORY_BCELL_DN	192	0.510539	4	8.21491	0.00177749	0.0220446	ETFDH, PPP1R13B, RBM47, UQCRC1
GSE1432_1H_VS_24H_IFNG_MICROGLIA_DN	192	0.510539	4	8.21491	0.00177749	0.0220446	BAZ1A, IFI44L, IL32, LYN
GSE17721_LPS_VS_PAM3CSK4_1H_BMDM_UP	192	0.510539	4	8.21491	0.00177749	0.0220446	HADHB, NDUFB10, UQCRB, UQCRC2
GSE17721_0.5H_VS_12H_POLYIC_BMDM_UP	192	0.510539	4	8.21491	0.00177749	0.0220446	ACO2, ESRRA, FAM162A, GSTK1
GSE17721_ALL_VS_24H_PAM3CSK4_BMDM_DN	192	0.510539	4	8.21491	0.00177749	0.0220446	NDUFA4, SHISA2, TP53INP2, WIPI1
GSE22886_UNSTIM_VS_STIM_MEMORY_TCELL_DN	192	0.510539	4	8.21491	0.00177749	0.0220446	COQ3, HNRNPR, PDHA1, SLC39A8
GSE22886_IGG_IGA_MEMORY_BCELL_VS_BM_PLASMA_CELL_DN	192	0.510539	4	8.21491	0.00177749	0.0220446	CRABP2, PRCP, RBM47, WIPI1
GSE22886_NAIVE_TCELL_VS_NEUTROPHIL_UP	192	0.510539	4	8.21491	0.00177749	0.0220446	ACAT1, AIFM1, PDHA1, SLC25A5
GSE24081_CONTROLLER_VS_PROGRESSOR_HIV_SPECIFIC_CD8_TCELL_UP	192	0.510539	4	8.21491	0.00177749	0.0220446	CKB, GAS2L1, ITGA5, SLC39A8
GSE27786_CD4_TCELL_VS_MONO_MAC_DN	192	0.510539	4	8.21491	0.00177749	0.0220446	ACO2, BAZ1A, GSTM1, WIPI1
GSE14350_IL2RB_KO_VS_WT_TEFF_DN	193	0.513198	4	8.17127	0.00181143	0.0220446	CHCHD10, CRABP2, NXPH4, RPL9
GSE17721_POLYIC_VS_PAM3CSK4_6H_BMDM_DN	193	0.513198	4	8.17127	0.00181143	0.0220446	AIFM1, FTH1, HSD17B12, SFXN4
GSE22886_NAIVE_VS_IGG_IGA_MEMORY_BCELL_DN	193	0.513198	4	8.17127	0.00181143	0.0220446	ACAT1, AIFM1, GSTK1, UQCRB
GSE22886_NAIVE_BCELL_VS_BLOOD_PLASMA_CELL_DN	193	0.513198	4	8.17127	0.00181143	0.0220446	ACAT1, AIFM1, ISOC2, WIPI1
GSE24142_EARLY_THYMIC_PROGENITOR_VS_DN2_THYMOCYTE_UP	193	0.513198	4	8.17127	0.00181143	0.0220446	ANG, LYN, PRCP, SHISA2
GSE24634_TREG_VS_TCONV_POST_DAY7_IL4_CONVERSION_DN	193	0.513198	4	8.17127	0.00181143	0.0220446	ATP1B1, FTH1, RBM47, STX4
GSE27786_BCELL_VS_NEUTROPHIL_UP	193	0.513198	4	8.17127	0.00181143	0.0220446	AIFM1, MCCC1, MRPL41, PRCP
GSE339_CD8POS_VS_CD4CD8DN_DC_IN_CULTURE_UP	193	0.513198	4	8.17127	0.00181143	0.0220446	AIFM1, CRABP2, SOD2, UQCRB
GSE360_L_DONOVANI_VS_B_MALAYI_HIGH_DOSE_DC_UP	193	0.513198	4	8.17127	0.00181143	0.0220446	COQ9, GPR3, NEDD8, SLC39A8
GSE9006_HEALTHY_VS_TYPE_1_DIABETES_PBMC_1MONTH_POST_DX_UP	193	0.513198	4	8.17127	0.00181143	0.0220446	ACO2, HNRNPR, NDUFV1, UQCRC1
KAECH_NAIVE_VS_DAY15_EFF_CD8_TCELL_UP	194	0.515857	4	8.12808	0.00184581	0.0220446	ACADM, GSTK1, MCCC1, PPIC
GSE17721_LPS_VS_POLYIC_1H_BMDM_UP	194	0.515857	4	8.12808	0.00184581	0.0220446	ACACB, DLD, GPR3, PPIC
GSE17721_CPG_VS_GARDIQUIMOD_6H_BMDM_DN	194	0.515857	4	8.12808	0.00184581	0.0220446	AIFM1, ETFDH, HSD17B12, UQCRB
GSE17721_LPS_VS_CPG_0.5H_BMDM_UP	194	0.515857	4	8.12808	0.00184581	0.0220446	AIFM1, CHCHD10, PPIC, UQCRC2
GSE22886_NAIVE_VS_IGM_MEMORY_BCELL_DN	194	0.515857	4	8.12808	0.00184581	0.0220446	ACAT1, CYCS, DECR1, WIPI1
GSE22886_NAIVE_CD4_TCELL_VS_48H_ACT_TH1_DN	194	0.515857	4	8.12808	0.00184581	0.0220446	HIGD1A, IMMT, NDUFV1, PDHA1
GSE360_CTRL_VS_L_DONOVANI_DC_UP	194	0.515857	4	8.12808	0.00184581	0.0220446	NDUFV1, PPIC, PRCP, UQCRC2
GSE360_T_GONDII_VS_B_MALAYI_HIGH_DOSE_DC_DN	194	0.515857	4	8.12808	0.00184581	0.0220446	AIFM1, CRABP2, PPP1R13B, PRCP
GSE7852_TREG_VS_TCONV_THYMUS_UP	194	0.515857	4	8.12808	0.00184581	0.0220446	CHCHD10, FAM162A, PRKRA, RNASE4
GSE8868_SPLEEN_VS_INTESTINE_CD11B_POS_CD11C_NEG_DC_DN	194	0.515857	4	8.12808	0.00184581	0.0220446	CNBP, ITGA5, NUDT11, SLC39A8
GOLDRATH_EFF_VS_MEMORY_CD8_TCELL_DN	195	0.518516	4	8.08535	0.00188064	0.0220446	ACADM, COQ9, GSTK1, RNASE4
GSE12845_NAIVE_VS_PRE_GC_TONSIL_BCELL_DN	195	0.518516	4	8.08535	0.00188064	0.0220446	AIFM1, NDUFA4, NDUFV1, SMPDL3A
GSE17721_CTRL_VS_PAM3CSK4_2H_BMDM_DN	195	0.518516	4	8.08535	0.00188064	0.0220446	CLYBL, SFXN4, SOD2, WIPI1
GSE17721_LPS_VS_GARDIQUIMOD_0.5H_BMDM_UP	195	0.518516	4	8.08535	0.00188064	0.0220446	ATP1B1, CLYBL, DECR1, SOD2
GSE17721_0.5H_VS_24H_CPG_BMDM_UP	195	0.518516	4	8.08535	0.00188064	0.0220446	ACAT1, CHCHD10, NDUFB10, RNASE4
GSE22886_IGM_MEMORY_BCELL_VS_BM_PLASMA_CELL_DN	195	0.518516	4	8.08535	0.00188064	0.0220446	ANG, CRABP2, PRCP, WIPI1
GSE22886_NAIVE_BCELL_VS_MONOCYTE_DN	195	0.518516	4	8.08535	0.00188064	0.0220446	HADHB, IMMT, RBM47, UQCRC1
GSE22886_NAIVE_CD4_TCELL_VS_12H_ACT_TH2_DN	195	0.518516	4	8.08535	0.00188064	0.0220446	AIFM1, HIGD1A, HSD17B12, IMMT
GSE29618_BCELL_VS_MDC_DN	195	0.518516	4	8.08535	0.00188064	0.0220446	ATP1B1, CALM2, NDUFA4, PRCP
GSE360_DC_VS_MAC_L_MAJOR_UP	195	0.518516	4	8.08535	0.00188064	0.0220446	CALM2, IMMT, NXPH4, PPIC
GSE36392_TYPE_2_MYELOID_VS_NEUTROPHIL_IL25_TREATED_LUNG_DN	195	0.518516	4	8.08535	0.00188064	0.0220446	ARHGEF6, IFI44L, NDUFB10, RPL9
GSE3982_MAC_VS_BASOPHIL_UP	195	0.518516	4	8.08535	0.00188064	0.0220446	FASTKD1, HADHB, OGDH, SUCLA2
GSE3982_NEUTROPHIL_VS_BCELL_DN	195	0.518516	4	8.08535	0.00188064	0.0220446	FAM162A, MGST3, RPL9, UQCRC2
GSE9006_TYPE_1_DIABETES_AT_DX_VS_1MONTH_POST_DX_PBMC_UP	195	0.518516	4	8.08535	0.00188064	0.0220446	ACO2, HNRNPR, NDUFV1, UQCRC1
GSE1432_1H_VS_6H_IFNG_MICROGLIA_UP	196	0.521175	4	8.04307	0.00191592	0.0220446	COX7A2, FAM162A, MGST3, WIPI1
GSE15930_NAIVE_VS_24H_IN_VITRO_STIM_CD8_TCELL_DN	196	0.521175	4	8.04307	0.00191592	0.0220446	CHCHD10, DECR1, FAM162A, SOD2
GSE15930_NAIVE_VS_24H_IN_VITRO_STIM_IL12_CD8_TCELL_DN	196	0.521175	4	8.04307	0.00191592	0.0220446	CHCHD10, CRABP2, FAM162A, SOD2
