Category	Size	ExpCount	Count	OddsRatio	Pvalue	PvalueAdj	Genes
Interactions of Vpr with host cellular proteins	14	0.0372268	3	104.825	6.53654e-06	0.000736846	ACADM, DECR1, HADHB
Beta-oxidation of pristanoyl-CoA	16	0.0425449	3	88.6942	1.00172e-05	0.00103511	ACAT1, DLD, MCCC1
Amine-derived hormones	197	0.523834	6	12.3353	1.55325e-05	0.00148156	ACAT1, CKB, DLD, GOT1, MCCC1, OGDH
Axonal growth inhibition (RHOA activation)	5	0.0132953	2	254.165	6.97663e-05	0.00576735	ACADM, HADHB
Base-free sugar-phosphate removal via the single-nucleotide replacement pathway	5	0.0132953	2	254.165	6.97663e-05	0.00576735	ACADM, HADHB
Inhibition of TSC complex formation by PKB	528	1.40398	8	6.10221	8.93739e-05	0.00692648	ACACB, ACADM, ACAT1, ACSL4, DECR1, ESRRA, HADHB, HSD17B12
Inactivation of Cdc42 and Rac	8	0.0212725	2	127.074	0.000194326	0.0133869	DLD, OGDH
Interaction With The Zona Pellucida	8	0.0212725	2	127.074	0.000194326	0.0133869	ACADM, HADHB
Role of second messengers in netrin-1 signaling	14	0.0372268	2	63.5289	0.000624992	0.040789	ACSL4, HSD17B12
Downregulation of ERBB4 signaling	18	0.047863	2	47.6426	0.00104352	0.0646982	ACSL4, HSD17B12
G1/S DNA Damage Checkpoints	458	1.21785	6	5.18289	0.00146247	0.0863554	ATP1B1, CALM2, ITGA5, LYN, PRCP, STX4
Cdc20:Phospho-APC/C mediated degradation of Cyclin A	92	0.244633	3	12.934	0.00193894	0.109286	ATP1B1, ITGA5, LYN
Branched-chain amino acid catabolism	233	0.61956	4	6.7381	0.00356706	0.192311	AMY1A, B4GALT2, CALM2, GOT1
SMAD2/3 MH2 Domain Mutants in Cancer	38	0.101044	2	21.1653	0.00463108	0.239272	ACSL4, HSD17B12
Plasmalogen biosynthesis	2	0.00531811	1	378.139	0.0053111	0.263431	CYCS
MASTL Facilitates Mitotic Progression	273	0.725923	4	5.73115	0.00622379	0.296827	CALM2, CPLX1, KCNJ6, STX4
Glycogen synthesis	46	0.122317	2	17.314	0.00672437	0.298958	CALM2, NUDT11
Base Excision Repair	3	0.00797717	1	189.066	0.00795615	0.298958	HADHB
Basigin interactions	3	0.00797717	1	189.066	0.00795615	0.298958	HADHB
EGFR interacts with phospholipase C-gamma	3	0.00797717	1	189.066	0.00795615	0.298958	CYCS
Hormone-sensitive lipase (HSL)-mediated triacylglycerol hydrolysis	3	0.00797717	1	189.066	0.00795615	0.298958	ACAT1
repression of WNT target genes	3	0.00797717	1	189.066	0.00795615	0.298958	PRKRA
Synthesis of 12-eicosatetraenoic acid derivatives	3	0.00797717	1	189.066	0.00795615	0.298958	SLC25A5
Signaling by PDGF	53	0.14093	2	14.9353	0.00884515	0.322588	CALM2, STX4
Activation of C3 and C5	4	0.0106362	1	126.041	0.0105942	0.356508	CALM2
RNA Polymerase II Transcription Elongation	4	0.0106362	1	126.041	0.0105942	0.356508	ACAT1
Signaling by SCF-KIT	180	0.47863	3	6.4911	0.012467	0.356508	CALM2, CPLX1, KCNJ6
FGFR3b ligand binding and activation	64	0.17018	2	12.2826	0.0126971	0.356508	CALM2, GOT1
Activation of Ca-permeable Kainate Receptor	5	0.0132953	1	94.5287	0.0132253	0.356508	CYCS
Axonal growth stimulation	5	0.0132953	1	94.5287	0.0132253	0.356508	HADHB
Axon guidance	5	0.0132953	1	94.5287	0.0132253	0.356508	HADHB
Biological oxidations	5	0.0132953	1	94.5287	0.0132253	0.356508	CALM2
Cohesin Loading onto Chromatin	5	0.0132953	1	94.5287	0.0132253	0.356508	CALM2
Constitutive Signaling by NOTCH1 t(7;9)(NOTCH1:M1580_K2555) Translocation Mutant	5	0.0132953	1	94.5287	0.0132253	0.356508	CYCS
Cytosolic sulfonation of small molecules	5	0.0132953	1	94.5287	0.0132253	0.356508	STX4
Host Interactions of HIV factors	5	0.0132953	1	94.5287	0.0132253	0.356508	ACAT1
Neurotransmitter Clearance In The Synaptic Cleft	196	0.521175	3	5.95091	0.015634	0.38536	CALM2, LYN, STX4
Acyl chain remodelling of PC	6	0.0159543	1	75.6213	0.0158495	0.38536	HADHB
Biotin transport and metabolism	6	0.0159543	1	75.6213	0.0158495	0.38536	CALM2
Integration of energy metabolism	6	0.0159543	1	75.6213	0.0158495	0.38536	GOT1
Interconversion of polyamines	6	0.0159543	1	75.6213	0.0158495	0.38536	ISCU
Apoptotic cleavage of cell adhesion  proteins	7	0.0186134	1	63.0164	0.0184668	0.416342	CYCS
Clearance of Nuclear Envelope Membranes from Chromatin	7	0.0186134	1	63.0164	0.0184668	0.416342	CKB
Cytokine Signaling in Immune system	7	0.0186134	1	63.0164	0.0184668	0.416342	AMY1A
Integrin cell surface interactions	7	0.0186134	1	63.0164	0.0184668	0.416342	PRKRA
Post-chaperonin tubulin folding pathway	83	0.220702	2	9.39761	0.0207435	0.442976	CALM2, STX4
Cell junction organization	8	0.0212725	1	54.0129	0.0210771	0.442976	ACACB
G beta:gamma signalling through PLC beta	8	0.0212725	1	54.0129	0.0210771	0.442976	ACACB
Pentose phosphate pathway (hexose monophosphate shunt)	8	0.0212725	1	54.0129	0.0210771	0.442976	ARHGEF6
Cytosolic sensors of pathogen-associated DNA	817	2.17245	6	2.86591	0.0223059	0.460989	B4GALT2, CALM2, RPL9, SLC25A5, STX4, WIPI1
deletions in the AXIN genes in hepatocellular carcinoma result in elevated WNT signaling	9	0.0239315	1	47.2602	0.0236806	0.473612	CALM2
Peptide hormone metabolism	9	0.0239315	1	47.2602	0.0236806	0.473612	CA9
Role of DCC in regulating apoptosis	10	0.0265906	1	42.0082	0.0262772	0.517202	NUDT11
Acetylcholine Neurotransmitter Release Cycle	11	0.0292496	1	37.8066	0.0288669	0.534216	CPLX1
Deadenylation of mRNA	11	0.0292496	1	37.8066	0.0288669	0.534216	CPLX1
MicroRNA (miRNA) biogenesis	11	0.0292496	1	37.8066	0.0288669	0.534216	CPLX1
Rap1 signalling	11	0.0292496	1	37.8066	0.0288669	0.534216	CPLX1
Activation of CaMK IV	12	0.0319087	1	34.3689	0.0314498	0.534216	CALM2
Hemostasis	12	0.0319087	1	34.3689	0.0314498	0.534216	CALM2
mTORC1-mediated signalling	12	0.0319087	1	34.3689	0.0314498	0.534216	LYN
Neurotransmitter Receptor Binding And Downstream Transmission In The  Postsynaptic Cell	12	0.0319087	1	34.3689	0.0314498	0.534216	LYN
Post NMDA receptor activation events	12	0.0319087	1	34.3689	0.0314498	0.534216	CA9
SEMA3A-Plexin repulsion signaling by inhibiting Integrin adhesion	12	0.0319087	1	34.3689	0.0314498	0.534216	CALM2
FGFR ligand binding and activation	13	0.0345677	1	31.5041	0.0340259	0.570164	CPLX1
NOSTRIN mediated eNOS trafficking	110	0.292496	2	7.04408	0.0348931	0.576899	ACADM, ESRRA
Initiation of Nuclear Envelope Reformation	14	0.0372268	1	29.0801	0.0365952	0.582535	GOT1
PKA-mediated phosphorylation of CREB	14	0.0372268	1	29.0801	0.0365952	0.582535	PRKRA
phosphorylation site mutants of CTNNB1 are not targeted to the proteasome by the destruction complex	113	0.300473	2	6.85325	0.0366433	0.582535	ACADM, ESRRA
Extension of Telomeres	15	0.0398859	1	27.0023	0.0391577	0.60145	CPLX1
Amino Acid conjugation	16	0.0425449	1	25.2016	0.0417135	0.60145	GOT1
CD28 co-stimulation	16	0.0425449	1	25.2016	0.0417135	0.60145	ARHGEF6
Coenzyme A biosynthesis	16	0.0425449	1	25.2016	0.0417135	0.60145	CALM2
Formation of annular gap junctions	16	0.0425449	1	25.2016	0.0417135	0.60145	CALM2
HDMs demethylate histones	16	0.0425449	1	25.2016	0.0417135	0.60145	PRCP
O-linked glycosylation	16	0.0425449	1	25.2016	0.0417135	0.60145	STX4
Phosphorylation of the APC/C	16	0.0425449	1	25.2016	0.0417135	0.60145	LYN
Glyoxylate metabolism	125	0.332382	2	6.18303	0.0439696	0.623699	ACACB, SLC25A5
Synthesis of DNA	17	0.045204	1	23.626	0.0442625	0.623699	SLC39A8
Acetylcholine regulates insulin secretion	18	0.047863	1	22.2358	0.0468048	0.630743	ACACB
Beta oxidation of palmitoyl-CoA to myristoyl-CoA	18	0.047863	1	22.2358	0.0468048	0.630743	STX4
p53-Dependent G1 DNA Damage Response	18	0.047863	1	22.2358	0.0468048	0.630743	CALM2
PI Metabolism	18	0.047863	1	22.2358	0.0468048	0.630743	LYN
Meiotic synapsis	133	0.353655	2	5.80443	0.0491294	0.630743	CALM2, KCNJ6
Depolarization of the Presynaptic Terminal Triggers the Opening of Calcium Channels	19	0.0505221	1	21	0.0493404	0.630743	CALM2
Fibronectin matrix formation	19	0.0505221	1	21	0.0493404	0.630743	GSTM1
Initial triggering of complement	19	0.0505221	1	21	0.0493404	0.630743	CALM2
NEP/NS2 Interacts with the Cellular Export Machinery	19	0.0505221	1	21	0.0493404	0.630743	CALM2
Beta oxidation of decanoyl-CoA to octanoyl-CoA-CoA	135	0.358973	2	5.7169	0.0504522	0.638375	GSTM1, MGST3
Netrin mediated repulsion signals	20	0.0531811	1	19.8943	0.0518693	0.649676	CALM2
Conjugation of carboxylic acids	22	0.0584993	1	17.9988	0.0569071	0.698661	LYN
Insulin receptor signalling cascade	22	0.0584993	1	17.9988	0.0569071	0.698661	SLC39A8
CREB phosphorylation through the activation of CaMKII	23	0.0611583	1	17.1803	0.059416	0.713156	CALM2
CDC6 association with the ORC:origin complex	24	0.0638174	1	16.433	0.0619183	0.713156	CA9
CDK-mediated phosphorylation and removal of Cdc6	24	0.0638174	1	16.433	0.0619183	0.713156	CA9
Phase II conjugation	24	0.0638174	1	16.433	0.0619183	0.713156	CA9
Reproduction	24	0.0638174	1	16.433	0.0619183	0.713156	CALM2
Rhesus glycoproteins mediate ammonium transport.	24	0.0638174	1	16.433	0.0619183	0.713156	GOT1
Activation of Na-permeable Kainate Receptors	25	0.0664764	1	15.748	0.0644141	0.713156	KCNJ6
AUF1 (hnRNP D0) destabilizes mRNA	25	0.0664764	1	15.748	0.0644141	0.713156	ATP1B1
Formation of the ternary complex, and subsequently, the 43S complex	25	0.0664764	1	15.748	0.0644141	0.713156	KCNJ6
Fructose catabolism	25	0.0664764	1	15.748	0.0644141	0.713156	LYN
Glycerophospholipid biosynthesis	25	0.0664764	1	15.748	0.0644141	0.713156	KCNJ6
Homologous Recombination Repair	26	0.0691355	1	15.1177	0.0669032	0.734159	B4GALT2
RNA Polymerase II Promoter Escape	27	0.0717945	1	14.5359	0.0693857	0.748811	CALM2
Inhibition of HSL	162	0.430767	2	4.74938	0.0694927	0.748811	CALM2, STX4
Binding and Uptake of Ligands by Scavenger Receptors	28	0.0744536	1	13.9973	0.0718617	0.748811	CALM2
Biosynthesis of the N-glycan precursor (dolichol lipid-linked oligosaccharide, LLO) and transfer to a nascent protein	28	0.0744536	1	13.9973	0.0718617	0.748811	CALM2
Collagen biosynthesis and modifying enzymes	28	0.0744536	1	13.9973	0.0718617	0.748811	CALM2
Heparan sulfate/heparin (HS-GAG) metabolism	28	0.0744536	1	13.9973	0.0718617	0.748811	ATP1B1
Antagonism of Activin by Follistatin	29	0.0771127	1	13.4971	0.0743312	0.755751	LYN
Heme biosynthesis	29	0.0771127	1	13.4971	0.0743312	0.755751	KCNJ6
Bile acid and bile salt metabolism	30	0.0797717	1	13.0314	0.0767941	0.755751	CALM2
Creatine metabolism	30	0.0797717	1	13.0314	0.0767941	0.755751	CALM2
Hedgehog ligand biogenesis	30	0.0797717	1	13.0314	0.0767941	0.755751	CYCS
Hormone ligand-binding receptors	30	0.0797717	1	13.0314	0.0767941	0.755751	B4GALT2
Nonhomologous End-joining (NHEJ)	30	0.0797717	1	13.0314	0.0767941	0.755751	CALM2
Ca activated K+ channels	31	0.0824308	1	12.5967	0.0792506	0.755929	LYN
Elastic fibre formation	31	0.0824308	1	12.5967	0.0792506	0.755929	PRCP
FGFR2 ligand binding and activation	31	0.0824308	1	12.5967	0.0792506	0.755929	GOT1
MEK activation	31	0.0824308	1	12.5967	0.0792506	0.755929	CPLX1
Activation of Nicotinic Acetylcholine Receptors	32	0.0850898	1	12.1901	0.0817006	0.756035	CALM2
Defects in cobalamin (B12) metabolism	32	0.0850898	1	12.1901	0.0817006	0.756035	CALM2
Formation of tubulin folding intermediates by CCT/TriC	32	0.0850898	1	12.1901	0.0817006	0.756035	LYN
NGF signalling via TRKA from the plasma membrane	32	0.0850898	1	12.1901	0.0817006	0.756035	CALM2
NGF processing	33	0.0877489	1	11.8089	0.0841441	0.772879	CALM2
Activation of PPARGC1A (PGC-1alpha) by phosphorylation	34	0.0904079	1	11.4508	0.0865811	0.783654	CALM2
G-protein beta:gamma signalling	34	0.0904079	1	11.4508	0.0865811	0.783654	SLC25A5
Defensins	35	0.093067	1	11.1138	0.0890117	0.794061	ITGA5
Release of Hh-Np from the secreting cell	35	0.093067	1	11.1138	0.0890117	0.794061	ITGA5
Histidine catabolism	37	0.0983851	1	10.4959	0.0938537	0.831276	FTH1
Activation of IRF3/IRF7 mediated by TBK1/IKK epsilon	38	0.101044	1	10.212	0.0962652	0.837342	KCNJ6
Eukaryotic Translation Initiation	38	0.101044	1	10.212	0.0962652	0.837342	KCNJ6
Signaling by Robo receptor	410	1.09021	3	2.80878	0.0965644	0.837342	ATP1B1, FTH1, SLC39A8
Activation of Kainate Receptors upon glutamate binding	41	0.109021	1	9.44549	0.103461	0.890914	ACACB
NGF-independant TRKA activation	42	0.11168	1	9.21491	0.105847	0.905174	CALM2
Formation of transcription-coupled NER (TC-NER) repair complex	43	0.114339	1	8.99532	0.108227	0.919188	CALM2
GTP hydrolysis and joining of the 60S ribosomal subunit	45	0.119658	1	8.58607	0.112968	0.952927	LYN
misspliced GSK3beta mutants stabilize beta-catenin	47	0.124976	1	8.2124	0.117684	0.986001	ARHGEF6
Activation of DNA fragmentation factor	48	0.127635	1	8.0375	0.120032	0.998924	WIPI1
Activation of gene expression by SREBF (SREBP)	50	0.132953	1	7.7091	0.12471	1	WIPI1
Eukaryotic Translation Termination	50	0.132953	1	7.7091	0.12471	1	KCNJ6
Mitochondrial iron-sulfur cluster biogenesis	50	0.132953	1	7.7091	0.12471	1	ESRRA
L1CAM interactions	51	0.135612	1	7.55475	0.12704	1	CALM2
Interferon alpha/beta signaling	52	0.138271	1	7.40646	0.129364	1	ACO2
NADE modulates death signalling	53	0.14093	1	7.26387	0.131682	1	CALM2
PD-1 signaling	54	0.143589	1	7.12666	0.133994	1	ACACB
Chemokine receptors bind chemokines	56	0.148907	1	6.86721	0.138598	1	STX4
Heme degradation	56	0.148907	1	6.86721	0.138598	1	ATP1B1
Signaling by NOTCH1 in Cancer	56	0.148907	1	6.86721	0.138598	1	STX4
Catecholamine biosynthesis	63	0.167521	1	6.09096	0.154525	1	ARHGEF6
Myogenesis	64	0.17018	1	5.99415	0.156776	1	GSTM1
Signaling by Wnt	65	0.172839	1	5.90036	0.159021	1	SLC39A8
Clearance of dopamine	70	0.186134	1	5.4722	0.170159	1	LYN
Regulation of Hypoxia-inducible Factor (HIF) by oxygen	285	0.757831	2	2.67798	0.175751	1	ARHGEF6, CALM2
Extrinsic Pathway	77	0.204747	1	4.96743	0.185507	1	ARHGEF6
Folding of actin by CCT/TriC	78	0.207406	1	4.90281	0.187676	1	HADHB
NFG and proNGF binds to p75NTR	78	0.207406	1	4.90281	0.187676	1	CALM2
Mitotic Prometaphase	79	0.210066	1	4.83985	0.18984	1	CALM2
NoRC negatively regulates rRNA expression	79	0.210066	1	4.83985	0.18984	1	KCNJ6
Sphingolipid metabolism	81	0.215384	1	4.71865	0.19415	1	WIPI1
CD28 dependent PI3K/Akt signaling	84	0.223361	1	4.5478	0.200573	1	ARHGEF6
MPS VII - Sly syndrome	84	0.223361	1	4.5478	0.200573	1	ARHGEF6
Mucopolysaccharidoses	84	0.223361	1	4.5478	0.200573	1	RPL9
DNA Damage Bypass	85	0.22602	1	4.49356	0.202702	1	RPL9
GP1b-IX-V activation signalling	85	0.22602	1	4.49356	0.202702	1	ITGA5
Sulfide oxidation to sulfate	85	0.22602	1	4.49356	0.202702	1	RPL9
Disinhibition of SNARE formation	87	0.231338	1	4.38887	0.206944	1	RPL9
MHC class II antigen presentation	90	0.239315	1	4.24065	0.213266	1	RPL9
HS-GAG biosynthesis	93	0.247292	1	4.1021	0.219537	1	ITGA5
EGFR downregulation	96	0.255269	1	3.9723	0.225759	1	RPL9
phospho-PLA2 pathway	98	0.260588	1	3.89023	0.22988	1	SLC25A5
Glucagon-type ligand receptors	101	0.268565	1	3.77328	0.23602	1	RPL9
Polo-like kinase mediated events	102	0.271224	1	3.73584	0.238056	1	SKA2
Formation of Fibrin Clot (Clotting Cascade)	104	0.276542	1	3.66314	0.242112	1	B4GALT2
Ion transport by P-type ATPases	104	0.276542	1	3.66314	0.242112	1	B4GALT2
IRAK1 recruits IKK complex	104	0.276542	1	3.66314	0.242112	1	B4GALT2
IRAK1 recruits IKK complex upon TLR7/8 or 9 stimulation	104	0.276542	1	3.66314	0.242112	1	B4GALT2
IRAK2 mediated activation of TAK1 complex	104	0.276542	1	3.66314	0.242112	1	B4GALT2
IRAK2 mediated activation of TAK1 complex upon TLR7/8 or 9 stimulation	104	0.276542	1	3.66314	0.242112	1	B4GALT2
IRE1alpha activates chaperones	104	0.276542	1	3.66314	0.242112	1	B4GALT2
IRF3 mediated activation of type 1 IFN	104	0.276542	1	3.66314	0.242112	1	B4GALT2
IRF3-mediated induction of type I IFN	104	0.276542	1	3.66314	0.242112	1	B4GALT2
Iron uptake and transport	104	0.276542	1	3.66314	0.242112	1	B4GALT2
IRS activation	104	0.276542	1	3.66314	0.242112	1	B4GALT2
IRS-mediated signalling	104	0.276542	1	3.66314	0.242112	1	B4GALT2
L13a-mediated translational silencing of Ceruloplasmin expression	104	0.276542	1	3.66314	0.242112	1	B4GALT2
3' -UTR-mediated translational regulation	106	0.28186	1	3.59321	0.246146	1	RPL9
HSF1-dependent transactivation	106	0.28186	1	3.59321	0.246146	1	RPL9
Ketone body catabolism	106	0.28186	1	3.59321	0.246146	1	HNRNPR
NOTCH2 intracellular domain regulates transcription	106	0.28186	1	3.59321	0.246146	1	HNRNPR
Fusion and Uncoating of the Influenza Virion	107	0.284519	1	3.55923	0.248155	1	RPL9
Methylation	107	0.284519	1	3.55923	0.248155	1	RPL9
M/G1 Transition	107	0.284519	1	3.55923	0.248155	1	RPL9
Response to elevated platelet cytosolic Ca2+	108	0.287178	1	3.52589	0.250159	1	RPL9
Interleukin receptor SHC signaling	110	0.292496	1	3.46105	0.254151	1	SKA2
Regulation of HSF1-mediated heat shock response	110	0.292496	1	3.46105	0.254151	1	LYN
BMAL1:CLOCK,NPAS2 activates circadian gene expression	114	0.303132	1	3.33824	0.262071	1	RPL9
Dissolution of Fibrin Clot	114	0.303132	1	3.33824	0.262071	1	RPL9
Post-translational modification: synthesis of GPI-anchored proteins	122	0.324405	1	3.11699	0.277663	1	ARHGEF6
Regulation of mitotic cell cycle	122	0.324405	1	3.11699	0.277663	1	ARHGEF6
G alpha (q) signalling events	125	0.332382	1	3.04138	0.283425	1	SLC25A5
Cap-dependent Translation Initiation	128	0.340359	1	2.96934	0.289142	1	ARHGEF6
Cytochrome P450 - arranged by substrate type	132	0.350996	1	2.87843	0.296693	1	WIPI1
NCAM1 interactions	133	0.353655	1	2.85656	0.298569	1	HADHB
Nuclear Events (kinase and transcription factor activation)	137	0.364291	1	2.7723	0.306021	1	HNRNPR
Fertilization	1051	2.79467	4	1.4475	0.30627	1	ESRRA, HNRNPR, PRKRA, RPL9
Glucagon signaling in metabolic regulation	138	0.36695	1	2.752	0.307872	1	RPL9
APC truncation mutants are not K63 polyubiquitinated	140	0.372268	1	2.71229	0.311559	1	CYCS
Regulation of ornithine decarboxylase (ODC)	142	0.377586	1	2.6737	0.315227	1	LYN
Glucagon-like Peptide-1 (GLP1) regulates insulin secretion	143	0.380245	1	2.65481	0.317053	1	RPL9
Innate Immune System	432	1.14871	2	1.75683	0.319082	1	ACO2, RPL9
DNA Repair	145	0.385563	1	2.61783	0.320691	1	ITGA5
Signaling by NOTCH1 PEST Domain Mutants in Cancer	145	0.385563	1	2.61783	0.320691	1	RPL9
Defective HLCS causes multiple carboxylase deficiency	146	0.388222	1	2.59972	0.322503	1	CALM2
Keratan sulfate/keratin metabolism	154	0.409495	1	2.46336	0.336828	1	HNRNPR
Defective LMBRD1 causes methylmalonic aciduria and homocystinuria type cblF	158	0.420131	1	2.40039	0.343877	1	CALM2
Regulation of Complement cascade	158	0.420131	1	2.40039	0.343877	1	CALM2
Regulation of cholesterol biosynthesis by SREBP (SREBF)	159	0.42279	1	2.38514	0.345628	1	CALM2
CREB phosphorylation through the activation of Adenylate Cyclase	160	0.425449	1	2.37009	0.347374	1	CALM2
Interleukin-1 processing	162	0.430767	1	2.34055	0.350852	1	SKA2
RAF activation	162	0.430767	1	2.34055	0.350852	1	SKA2
Interleukin-6 signaling	163	0.433426	1	2.32605	0.352584	1	SKA2
CREB phosphorylation	170	0.45204	1	2.22936	0.364582	1	CALM2
Regulation of gene expression in beta cells	173	0.460017	1	2.19034	0.369656	1	CALM2
Regulation of Apoptosis	176	0.467994	1	2.15265	0.37469	1	CALM2
Regulation of beta-cell development	178	0.473312	1	2.12823	0.378023	1	CALM2
Regulation of lipid metabolism by Peroxisome proliferator-activated receptor alpha (PPARalpha)	187	0.497244	1	2.02485	0.392808	1	CALM2
Autodegradation of Cdh1 by Cdh1:APC/C	190	0.505221	1	1.99258	0.397659	1	LYN
Ionotropic activity of Kainate Receptors	192	0.510539	1	1.97163	0.400871	1	SKA2
GABA B receptor activation	197	0.523834	1	1.92113	0.408828	1	SLC25A5
Metabolism of mRNA	202	0.53713	1	1.87313	0.416679	1	CALM2
Inhibition  of voltage gated Ca2+ channels via Gbeta/gamma subunits	220	0.584993	1	1.7185	0.444099	1	RPL9
Interleukin-7 signaling	226	0.600947	1	1.67246	0.452951	1	SKA2
Removal of licensing factors from origins	226	0.600947	1	1.67246	0.452951	1	SLC39A8
Inositol phosphate metabolism	267	0.709968	1	1.41341	0.509813	1	RPL9
ATP sensitive Potassium channels	270	0.717945	1	1.39756	0.513736	1	ITGA5
Cooperation of Prefoldin and TriC/CCT  in actin and tubulin folding	285	0.757831	1	1.32331	0.532886	1	LYN
Caspase-mediated cleavage of cytoskeletal proteins	360	0.957261	1	1.04514	0.617979	1	SKA2
Regulation of signaling by CBL	1648	4.38213	4	0.909649	0.642147	1	ARHGEF6, CALM2, ITGA5, LYN
Cytochrome c-mediated apoptotic response	425	1.1301	1	0.883661	0.679165	1	ITGA5
FGFR1c and Klotho ligand binding and activation	431	1.14605	1	0.871216	0.684297	1	ESRRA
Glycogen storage diseases	444	1.18062	1	0.845409	0.695139	1	CALM2
Carnitine synthesis	458	1.21785	1	0.81926	0.706402	1	SKA2
Regulation of gene expression in endocrine-committed (NEUROG3+) progenitor cells	944	2.51015	2	0.792967	0.718357	1	ARHGEF6, CALM2
Gastrin-CREB signalling pathway via PKC and MAPK	1037	2.75744	2	0.72023	0.765459	1	CALM2, LYN
Adenylate cyclase inhibitory pathway	604	1.60607	1	0.618914	0.801863	1	LYN
formation of the beta-catenin:TCF transactivating complex	833	2.21499	1	0.446308	0.893346	1	ARHGEF6
2-LTR circle formation	7	0.0186134	0	0	1	1	
Abacavir metabolism	4	0.0106362	0	0	1	1	
Abacavir transmembrane transport	5	0.0132953	0	0	1	1	
Abacavir transport and metabolism	10	0.0265906	0	0	1	1	
ABCA transporters in lipid homeostasis	16	0.0425449	0	0	1	1	
ABC-family proteins mediated transport	16	0.0425449	0	0	1	1	
Abnormal metabolism in phenylketonuria	2	0.00531811	0	0	1	1	
Abortive elongation of HIV-1 transcript in the absence of Tat	23	0.0611583	0	0	1	1	
Acetylcholine Binding And Downstream Events	14	0.0372268	0	0	1	1	
Acrosome Reaction	30	0.0797717	0	0	1	1	
Activated NOTCH1 Transmits Signal to the Nucleus	17	0.045204	0	0	1	1	
Activated point mutants of FGFR2	17	0.045204	0	0	1	1	
activated TAK1 mediates p38 MAPK activation	111	0.295155	0	0	1	1	
Activated TLR4 signalling	2	0.00531811	0	0	1	1	
Activation and oligomerization of BAK protein	4	0.0106362	0	0	1	1	
Activation of AMPA receptors	69	0.183475	0	0	1	1	
Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins	37	0.0983851	0	0	1	1	
Activation of ATR in response to replication stress	7	0.0186134	0	0	1	1	
Activation of BAD and translocation to mitochondria	17	0.045204	0	0	1	1	
Activation of BH3-only proteins	4	0.0106362	0	0	1	1	
Activation of BID and translocation to mitochondria	3	0.00797717	0	0	1	1	
Activation of BIM and translocation to mitochondria	3	0.00797717	0	0	1	1	
Activation of BMF and translocation to mitochondria	7	0.0186134	0	0	1	1	
Activation of caspases through apoptosome-mediated cleavage	10	0.0265906	0	0	1	1	
Activation of GABAB receptors	12	0.0319087	0	0	1	1	
Activation of G protein gated Potassium channels	11	0.0292496	0	0	1	1	
Activation of Matrix Metalloproteinases	25	0.0664764	0	0	1	1	
Activation of NF-kappaB in B cells	17	0.045204	0	0	1	1	
Activation of NIMA Kinases NEK9, NEK6, NEK7	31	0.0824308	0	0	1	1	
Activation of NMDA receptor upon glutamate binding and postsynaptic events	2	0.00531811	0	0	1	1	
Activation of NOXA and translocation to mitochondria	65	0.172839	0	0	1	1	
