KEGGID	Pvalue	OddsRatio	ExpCount	Count	Size	Term	PvalueAdj	Genes
00071	0.000505674019379626	12.4779050736498	0.377582644628099	4	43	Fatty acid metabolism	0.0043212143474259	ACADM, ACAT1, ACSL4, HADHB
00010	0.00240699014980298	7.94698290896407	0.570764462809917	4	65	Glycolysis / Gluconeogenesis	0.0188547561734567	DLAT, DLD, PDHA1, PGAM4
00480	0.00935427262015173	7.59308510638298	0.43904958677686	3	50	Glutathione metabolism	0.0676385866380202	GSTM1, MGST3, GSTK1
00630	0.010573505950082	14.6454081632653	0.158057851239669	2	18	Glyoxylate and dicarboxylate metabolism	0.0709935399505509	ACAT1, ACO2
00980	0.023991263400439	5.22886029411765	0.623450413223141	3	71	Metabolism of xenobiotics by cytochrome P450	0.150345250642751	GSTM1, MGST3, GSTK1
00982	0.0257912206127095	5.07767857142857	0.641012396694215	3	73	Drug metabolism - cytochrome P450	0.151523421099668	GSTM1, MGST3, GSTK1
00650	0.0281181490315076	8.35131195335277	0.263429752066116	2	30	Butanoate metabolism	0.155476824056571	ACAT1, PDHA1
04146	0.030601979255681	4.735	0.684917355371901	3	78	Peroxisome	0.159810336113001	ACSL4, SOD2, GSTK1
04970	0.0427334206171701	4.12136627906977	0.78150826446281	3	89	Salivary secretion	0.202829645269048	AMY1A, ATP1B1, CALM2
00400	0.0431552436742656	28.765	0.0439049586776859	1	5	Phenylalanine, tyrosine and tryptophan biosynthesis	0.202829645269048	GOT1
00061	0.0515645289702527	23.008	0.0526859504132231	1	6	Fatty acid biosynthesis	0.212763163454628	ACACB
00380	0.052081861785029	5.83367346938776	0.368801652892562	2	42	Tryptophan metabolism	0.212763163454628	ACAT1, OGDH
00310	0.0543225098182028	5.69039323046292	0.377582644628099	2	43	Lysine degradation	0.212763163454628	ACAT1, OGDH
04973	0.0543225098182028	5.69039323046292	0.377582644628099	2	43	Carbohydrate digestion and absorption	0.212763163454628	AMY1A, ATP1B1
00130	0.0599013454167392	19.17	0.0614669421487603	1	7	Ubiquinone and other terpenoid-quinone biosynthesis	0.225229058766939	COQ3
00062	0.0681663051450182	16.4285714285714	0.0702479338842975	1	8	Fatty acid elongation in mitochondria	0.246447410908912	HADHB
00072	0.0763600152204673	14.3725	0.0790289256198347	1	9	Synthesis and degradation of ketone bodies	0.265845978915701	ACAT1
00330	0.081045661913175	4.47802197802198	0.474173553719008	2	54	Arginine and proline metabolism	0.27208186499423	CKB, GOT1
00290	0.0925360895908413	11.494	0.0965909090909091	1	11	Valine, leucine and isoleucine biosynthesis	0.299944566259968	PDHA1
04920	0.119555836105461	3.51948051948052	0.597107438016529	2	68	Adipocytokine signaling pathway	0.354769279939459	ACACB, ACSL4
00900	0.124059400598341	8.20428571428571	0.131714876033058	1	15	Terpenoid backbone biosynthesis	0.354769279939459	ACAT1
00533	0.124059400598341	8.20428571428571	0.131714876033058	1	15	Glycosaminoglycan biosynthesis - keratan sulfate	0.354769279939459	B4GALT2
03320	0.125381943101177	3.41476590636255	0.614669421487603	2	70	PPAR signaling pathway	0.354769279939459	ACADM, ACSL4
04976	0.128320803382357	3.36468500443656	0.623450413223141	2	71	Bile secretion	0.354769279939459	ATP1B1, NCEH1
04971	0.137234532053609	3.22278911564626	0.649793388429752	2	74	Gastric acid secretion	0.364030448991818	ATP1B1, CALM2
00360	0.139415916635165	7.17625	0.149276859504132	1	17	Phenylalanine metabolism	0.364030448991818	GOT1
04974	0.158537891627252	2.93360888659261	0.711260330578512	2	81	Protein digestion and absorption	0.402771940890855	ATP1B1, PRCP
01040	0.169341296793301	5.737	0.184400826446281	1	21	Biosynthesis of unsaturated fatty acids	0.411628211880143	HSD17B12
00410	0.176661772663966	5.46285714285714	0.193181818181818	1	22	beta-Alanine metabolism	0.411628211880143	ACADM
04210	0.177265740709256	2.72364945978391	0.763946280991736	2	87	Apoptosis	0.411628211880143	AIFM1, CYCS
00910	0.183918988286873	5.21363636363636	0.201962809917355	1	23	Nitrogen metabolism	0.411628211880143	CA9
04964	0.183918988286873	5.21363636363636	0.201962809917355	1	23	Proximal tubule bicarbonate reclamation	0.411628211880143	ATP1B1
00601	0.205316409729549	4.5856	0.228305785123967	1	26	Glycosphingolipid biosynthesis - lacto and neolacto series	0.448831221269246	B4GALT2
00052	0.212325898332764	4.40846153846154	0.237086776859504	1	27	Galactose metabolism	0.45360532825636	B4GALT2
04744	0.219274761710213	4.24444444444444	0.245867768595041	1	28	Phototransduction	0.458040613350222	CALM2
00250	0.246474178155278	3.6941935483871	0.28099173553719	1	32	Alanine, aspartate and glutamate metabolism	0.492948356310555	GOT1
00260	0.246474178155278	3.6941935483871	0.28099173553719	1	32	Glycine, serine and threonine metabolism	0.492948356310555	DLD
00270	0.272743946942969	3.26971428571429	0.316115702479339	1	36	Cysteine and methionine metabolism	0.523223081890594	GOT1
04130	0.272743946942969	3.26971428571429	0.316115702479339	1	36	SNARE interactions in vesicular transport	0.523223081890594	STX4
00350	0.304321213656689	2.8585	0.360020661157025	1	41	Tyrosine metabolism	0.572123881674575	GOT1
04960	0.310473392970632	2.78829268292683	0.368801652892562	1	42	Aldosterone-regulated sodium reabsorption	0.572190696654104	ATP1B1
00860	0.31657222352188	2.72142857142857	0.377582644628099	1	43	Porphyrin and chlorophyll metabolism	0.572190696654104	FTH1
04962	0.322618158751782	2.65767441860465	0.386363636363636	1	44	Vasopressin-regulated water reabsorption	0.572190696654104	STX4
00514	0.334553138163456	2.53866666666667	0.403925619834711	1	46	Other types of O-glycan biosynthesis	0.582370277543794	B4GALT2
04910	0.34283613268393	1.68697478991597	1.21177685950413	2	138	Insulin signaling pathway	0.58593811767799	ACACB, CALM2
00510	0.352070012922065	2.37875	0.430268595041322	1	49	N-Glycan biosynthesis	0.590974664547752	B4GALT2
05014	0.374724259199612	2.19423076923077	0.465392561983471	1	53	Amyotrophic lateral sclerosis (ALS)	0.616292142965971	CYCS
00500	0.38026536480879	2.15245283018868	0.474173553719008	1	54	Starch and sucrose metabolism	0.616292142965971	AMY1A
00140	0.391203536041096	2.07345454545455	0.491735537190083	1	56	Steroid hormone biosynthesis	0.622747036279524	HSD17B12
05131	0.417727631242555	1.899	0.535640495867769	1	61	Shigellosis	0.622747036279524	ITGA5
05210	0.422894829921279	1.86754098360656	0.544421487603306	1	62	Colorectal cancer	0.622747036279524	CYCS
05214	0.438128176105463	1.7790625	0.570764462809917	1	65	Glioma	0.622747036279524	CALM2
05120	0.452967100615863	1.69850746268657	0.597107438016529	1	68	Epithelial cell signaling in Helicobacter pylori infection	0.622747036279524	LYN
04115	0.452967100615863	1.69850746268657	0.597107438016529	1	68	p53 signaling pathway	0.622747036279524	CYCS
05416	0.45782749745708	1.67323529411765	0.605888429752066	1	69	Viral myocarditis	0.622747036279524	CYCS
04730	0.45782749745708	1.67323529411765	0.605888429752066	1	69	Long-term depression	0.622747036279524	LYN
05100	0.462645548969485	1.64869565217391	0.614669421487603	1	70	Bacterial invasion of epithelial cells	0.622747036279524	ITGA5
04720	0.462645548969485	1.64869565217391	0.614669421487603	1	70	Long-term potentiation	0.622747036279524	CALM2
05212	0.462645548969485	1.64869565217391	0.614669421487603	1	70	Pancreatic cancer	0.622747036279524	ARHGEF6
04020	0.463747792974114	1.30192419825073	1.55423553719008	2	177	Calcium signaling pathway	0.622747036279524	SLC25A5, CALM2
05412	0.481501488707202	1.5572602739726	0.649793388429752	1	74	Arrhythmogenic right ventricular cardiomyopathy (ARVC)	0.634647759636391	ITGA5
04662	0.486113177593831	1.53594594594595	0.658574380165289	1	75	B cell receptor signaling pathway	0.634647759636391	LYN
04664	0.499708293342992	1.47532467532468	0.684917355371901	1	78	Fc epsilon RI signaling pathway	0.634764588841098	LYN
04070	0.499708293342992	1.47532467532468	0.684917355371901	1	78	Phosphatidylinositol signaling system	0.634764588841098	CALM2
05410	0.521587270141846	1.38414634146341	0.728822314049587	1	83	Hypertrophic cardiomyopathy (HCM)	0.645538906844228	ITGA5
04512	0.525849112800845	1.36722891566265	0.737603305785124	1	84	ECM-receptor interaction	0.645538906844228	ITGA5
05222	0.530073727623898	1.35071428571429	0.746384297520661	1	85	Small cell lung cancer	0.645538906844228	CYCS
04640	0.538412546058784	1.31883720930233	0.763946280991736	1	87	Hematopoietic cell lineage	0.645538906844228	ITGA5
03010	0.54252737915632	1.30344827586207	0.772727272727273	1	88	Ribosome	0.645538906844228	RPL9
05414	0.550649447067434	1.27370786516854	0.790289256198347	1	90	Dilated cardiomyopathy	0.64600212253374	ITGA5
04666	0.562568137222263	1.23152173913043	0.816632231404959	1	93	Fc gamma R-mediated phagocytosis	0.64600212253374	LYN
04810	0.563533766465603	1.07283102814586	1.87035123966942	2	213	Regulation of actin cytoskeleton	0.64600212253374	ITGA5, ARHGEF6
04912	0.589186124689092	1.1430303030303	0.878099173553719	1	100	GnRH signaling pathway	0.655629735958659	CALM2
04972	0.589186124689092	1.1430303030303	0.878099173553719	1	100	Pancreatic secretion	0.655629735958659	ATP1B1
04916	0.59285667613283	1.1314	0.886880165289256	1	101	Melanogenesis	0.655629735958659	CALM2
04114	0.63116991209734	1.0172972972973	0.983471074380165	1	112	Oocyte meiosis	0.689883392292441	CALM2
04270	0.640990309083831	0.99	1.00981404958678	1	115	Vascular smooth muscle contraction	0.692564241998622	CALM2
04722	0.677771926747428	0.893809523809524	1.11518595041322	1	127	Neurotrophin signaling pathway	0.723983649025662	CALM2
05145	0.686373961009074	0.872558139534884	1.14152892561983	1	130	Toxoplasmosis	0.724934295897224	CYCS
04145	0.745251651466007	0.7375	1.34349173553719	1	153	Phagosome	0.778373947086718	ITGA5
04062	0.816334398193441	0.592446808510638	1.65960743801653	1	189	Chemokine signaling pathway	0.843246521210807	LYN
04510	0.833876535288158	0.558592964824121	1.75619834710744	1	200	Focal adhesion	0.852004286055292	ITGA5
05200	0.948140299194544	0.334276923076923	2.86260330578512	1	326	Pathways in cancer	0.95833535617513	CYCS
04740	0.970491313146471	0.279064935064935	3.38946280991736	1	386	Olfactory transduction	0.970491313146471	CALM2
